Segmento;Tipo;Nombre del producto;Lema;Descripción;Estado;Link ppt;Link web;Link App;Link Github;Logo;Video
Sector Público;"Dashboards &
Analítica de datos";SIAG;Sigue en tiempo real a tu organización;Suite de seguimiento de metas institucionales en tiempo real con aplicación web, Android y IOS;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Cardesk-Gestin/Dashboard1;NA;NA;NA;https://drive.google.com/file/d/1iZEkSOuXZ5h4kMB0xZBnUOpvovll0vQx/view?usp=drive_link
Sector Público;"Dashboards &
Analítica de datos";Precios y productividad del arroz - Forecasting;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Dashboardarroz/Dashboard1;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Violencia Intrafamiliar en Colombia;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Datos-Polica/Violenciaintrafamiliar ;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Delitos Sexuales en Colombia;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/DelitossexualesenColombia_17300861605130/Dashboard1;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";El Panorama del envejecimiento poblacional en Colombia;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/ElpanoramadelenvejecimientopoblacionalenColombia/Dashboard1;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Envejecimiento poblacional en Colombia por Sexo y Área;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/EnvejecimientopoblacionalenColombiaporSexoyArea/Historia1;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Llamadas totales al NUSE/123 por UPZ en Bogotá - Forecasting;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/LlamadasalNUSEporUPZ/VistaporUPZ;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Llamadas totales al NUSE/123 por UPZ en Bogotá;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/LlamadastotalesalNUSEporUPZ/Vistadistrital;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Panorama de la Extorsión en Colombia (2010-2024);;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/PanoramadelaextorsinenColombia2010-2024/Dashboard1;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Recursos hospitalarios por cada 100.000 habitantes;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Recursoshospitalariosporcada100_00habitantes-2022/Dashboard1;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Registros de la Base Única de afiliados - Adres - Mayo 2025;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/RegistrosdelaBasedeDatosnicadeAfiliados-ADRES-Mayo2025/Perfilesdelosafiliados ;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Sinestralidad vial en Bogotá - Análisis espacial;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Siniestralidadvial-2019-2023V2-Anlisisespacial/SiniestralidadvialenBogotD_C_-2019-2023-Anlisisespacial;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Sinestralidad vial en Bogotá - Forecasting;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Siniestralidadvial-2019-2023V2-forecasting/SiniestralidadvialenBogotD_C_-Modelopredictivo-2019-2023;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Sinestralidad vial en Bogotá - Siniestros;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Siniestralidadvial-2019-2023V2-Siniestros/SiniestralidadvialenBogotD_C_-2019-2023;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Sinestralidad vial en Bogotá - Víctimas;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Siniestralidadvial-2019-2023V2-Vctimas/VctimasdelasiniestralidadvialenBogotD_C_-2019-2023;NA;NA;NA;NA
Sector Público;"Dashboards &
Analítica de datos";Suicidios en Colombia 2023-2024;;;En línea;NA;https://public.tableau.com/app/profile/juan.sotelo.aguilar/viz/Suicidios-2023-2024/Dashboard12;NA;NA;NA;NA
