GENERAL;;;;;GITHUB;GITHUB;RAILWAY;;;;;;;
ID;Nombre;Creador;Logo;Descripción;Link github;Cuenta;Producto_railway;Estado;Cuenta;Link despliegue;;;;
GL-008;AlcaldesApp;Samuel Ramírez;Sí;Asistente de voz con conocimientos del plan de desarrollo municipal y la caracterización municipal de Cajicá, Cundinamarca;https://github.com/GovLabSabana/cajica ;GovLab;cajica;Activo;GovLab;https://asistente-virtual-cajica.up.railway.app/ ;;;;
GL-036;AlcaldIA;Tomás Barón;NO;Asistente para procesos participativos de la Alcadía Distrital de Bogotá;https://github.com/GovLabSabana/AlcaldIA;GovLab;AlcaldIA;Activo;GovLab;https://alcadia.up.railway.app/;;;;
GL-006;AlumniChat;Juan Sotelo Aguilar;NO;Herramienta de recomendación de posgrados de la Universidad de la Sabana;https://github.com/Juansotag/AlumniChat;Juan Sotelo Aguilar;AlumniChat;Activo;GovLab;https://alumnichat.up.railway.app/;;;;
GL-007;AlumniCv;Juan Sotelo Aguilar;NO;Plataforma end-to-end para seguimiento de procesos de selección, búsqueda de posiciones con webscrapping, mejora de hoja de vida y coach profesional;https://github.com/Juansotag/AlumniCV;Juan Sotelo Aguilar;AlumniCV;Activo;GovLab;https://alumnicv.up.railway.app/;;;;
GL-010;Barranquilla Viz;Juan Sotelo Aguilar;Sí;Visualizador de criminalidad municipal con herramientas de pronóstico;https://github.com/GovLabSabana/Barranquilla;GovLab;Barranquilla;Activo;GovLab;https://barranquilla-production.up.railway.app/ ;;;;
GL-011;CAResponde;Juan Sotelo Aguilar;Sí;Sistema de asignación y seguimiento de PQRS para la CAR Cundinamarca;https://github.com/GovLabSabana/CAR-pqrs ;GovLab;CAR-pqrs;Activo;GovLab;https://car-pqrs-production.up.railway.app/;;;;
GL-030;Convergencia Electoral;Juan Sotelo Aguilar;Sí;Test ideológico para la asignación de candidatos presidenciales para las elecciones del 2026;https://github.com/GovLabSabana/Test_9ejes ;GovLab;Test_9ejes;Activo;GovLab;https://test9ejes.up.railway.app/;;;;
GL-013;Cuidar la Democracia;Juan Sotelo Aguilar;Sí;Dashboard interactivo para mostrar los resultados de la Encuesta realizada por Invamer junto a más de 15 organizaciones de la sociedad civil sobre democracia;https://github.com/Juansotag/Cuidar-la-Democracia;Juan Sotelo Aguilar;Cuidar-la-Democracia;Activo;GovLab;https://cuidar-la-democracia-production.up.railway.app/;;;;
GL-004;Data_Copilot;Juan Sotelo Aguilar;Sí;Herramienta de comparación de data estructurada;https://github.com/GovLabSabana/Data_copilot;GovLab;Data_copilot;En mantenimiento;GovLab;datacopilot.up.railway.app ;;;;
